ID	Declustering Potential (DP)	Collision Energy (CE)	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Molecular formula	Ionization model	Ret. Time (min)	Precursor ions (Q1)	Product ions (Q3)	Main fragments	Compound name	Identification level	Class	CV_all	CV_PIM	CV_CER	CV_BIG	H2
SlFM0081	50	20				C9H7NO	H+	9.74	146.1	118.1	118.1, 91.0, 117.0, 90.1, 88.9	Indole-3-carboxaldehyde	standard	Others	0.5	0.5	0.5	0.49	0.66
SlFM0082	40	60						1.2	147.1	84	83.8, 130.0, 82.0, 80.7, 78.0, 76.6				1.39	1.76	1.6	1.24	0.36
SlFM0083	60	10				C5H10N2O3	H+	1.62	147	84	83.8, 130.0, 82.0, 80.7, 78.0, 76.6	L-Glutamine	standard	Amino acid	1.43	1.74	1.78	1.25	0.57
SlFM0084	40	60				C6H14N2O2	H+	1.64	147.2	84.2	65.4, 83.0, 78.1, 64.2, 129.9, 69.6	L-Lysine	standard	Amino acid	1.2	1.39	1.42	1.06	0.57
SlFM0085	40	20					H+	6.61	147	91.1	90.9, 118.9, 83.4, 147.0, 84.0, 90.3	Coumarin	putatively annotated	Others	0.68	0.79	0.82	0.6	0.64
SlFM0086	-60	-20					H-	1.5	145.1	101.1	101.0, 102.0, 100.3, 83.0, 99.0, 83.9 	2-Methylglutaric acid	putatively annotated	Polyphenol	1.08	1.2	1.29	0.97	0.48
SlFM0087	40	40					H+	1.74	148.1	83.4	83.0, 65.4, 78.1, 64.2, 102.0, 80.3	DL-threo-beta-Methylaspartic acid	putatively annotated	Amino acid derivative	1.08	1.26	1.18	1.02	0.54
SlFM0088	40	60				C5H9NO4	H+	1.74	148.1	84.1	84.1	Glutamic acid	standard	Amino acid	1.11	1.3	1.23	1.04	0.52
SlFM0089	40	60	148.0603	148.0604	0.91	C5H9NO4	H+	2.3	148.1	84.1	102.0, 129.9, 81.5, 78.9	O-Acetyl-L-serine	putatively annotated	Amino acid derivative	2.09	2.84	2	2.08	0.31
SlFM0090	40	40					H+	1.73	148	102	102	Isatin	putatively annotated	Others	1.09	1.22	1.18	1.03	0.5
SlFM0093	50	10	149.059					4.64	149.1	103	76.7, 85.0, 103.0, 95.0, 121.0				0.67	0.59	0.79	0.6	0.68
SlFM0094	-40	-30				C9H8O2	H-	1.68	147	103.1	103.1	trans-Cinnamic acid	putatively annotated	Polyphenol	1.21	1.33	1.36	1.13	0.51
SlFM0095	50	10	150.058	150.0583	2	C5H11NO2S	H+	2.3	150.2	61.2	133.0, 102.0, 61.0, 87.0	L-Methionine	standard	Amino acid	1.65	2.05	1.7	1.51	0.57
SlFM0096	60	20					H+	2.3	152	135	134.9, 109.9, 79.9, 134.0, 62.9	2-Phenylglycine	putatively annotated	Amino acid derivative	1.66	2.2	1.87	1.53	0.5
SlFM0098	40	40					H+	2.3	152	135.1	134.9, 133.9, 62.9, 79.0, 76.9	Guanine	standard	Nucleic acid	1.65	2.16	1.73	1.56	0.58
SlFM0099	40	20					H+	3.1	152.1	135.2	135.0, 110.0, 135.9, 80.0, 134.1	Acetaminophen	putatively annotated	Others	1.5	2	1.47	1.47	0.27
SlFM0100	60	20						7.47	153.1	120.9	120.9, 97.0, 95.0, 107.0, 153.0, 91.0				1.46	1.85	1.87	1.28	0.67
SlFM0101	30	30					H+	1.75	154.1	91.1	91.1	Dopamine 	putatively annotated	Others	1.17	1.05	1.07	1.16	0.55
SlFM0103	-40	-30					H-	7.73	153	108	108.0, 109.0, 125.1, 81.0, 107.2, 106.4 	5-Hydroxysalicylic acid	putatively annotated	Others	3.01	1.02	3.78	2.66	0.52
SlFM0104	-40	-30					H-	6.98	153	109	109.0, 108.0, 78.9, 107.3, 105.7, 91.0 	3,4-Dihydroxybenzoic acid	putatively annotated	Polyphenol	2.69	0.54	1.44	2.44	0.77
SlFM0106	40	30				C6H9N3O2	H+	1.15	156.1	110.1	110.1, 93.0, 83.0, 81.0, 82.0, 95.0	L-Histidine	standard	Amino acid	1.52	2.1	1.66	1.4	0.3
SlFM0108	40	20						2.35	160.1	115	142.0, 82.0, 114.0, 99.9, 69.8				0.94	1.25	0.75	0.87	0.26
SlFM0109	-40	-30						6.69	158.1	116.1	116.0, 114.1, 120.6 				0.83	0.53	0.64	0.82	0.58
SlFM0110	40	30						1.02	161.1	83	82.9, 100.9, 98.9, 82.3, 84.0, 101.9				1.13	1.14	1.09	1.04	0.35
SlFM0114	40	50	161.1071	161.1073	1.4	C10H12N2	H+	4.87	161.1	144.2	91.0, 144.8, 117.2, 115.2, 114.6	L-Tryptamine	standard	Amino acid	0.96	1.02	0.91	0.94	0.34
SlFM0115	60	20	162.0766			C6H11NO4	H+	1.07	162.1	101.9	102.0, 144.0, 81.0	O-Acetyl-L-homoserine hydrochloride	putatively annotated	Others	1.31	1.22	1.17	1.22	0.34
SlFM0116	20	30				C9H7NO2	H+	4.87	162.15	118.1	118.1, 116.1, 117.2, 143.1	Indole-3-carboxylic acid	putatively annotated	Others	0.82	0.91	0.77	0.81	0.29
SlFM0117	60	20				C6H11NO4	H+	2.4	162.1	119.9	119.9, 74.0, 102.0, 84.0, 98.0	Carnitine	putatively annotated	Others	1.34	1.3	1.25	1.37	0.58
SlFM0118	20	20						10.2	162.1	144	144.0, 116.9, 115.0, 91.0				0.9	0.57	1.28	0.74	0.74
SlFM0120	20	20				C10H14N2	H+	4.87	163	146	146.0, 68.9, 145.0, 117.0, 96.9, 85.0	Anabasine	putatively annotated	Alkaloid	0.8	0.94	0.77	0.79	0.32
SlFM0121	40	30						4.49	165.1	84	84.0, 112.0, 82.9, 134.0, 100.9, 129.0				1.78	1.22	1.43	1.32	0.07
SlFM0122	40	40	165.0508					2.3	165.1	95	82.9, 100.9, 123.9, 82.3, 118.9, 78.3				1.03	0.91	1.05	0.95	0.61
SlFM0123	20	30				C9H8O3	H+	12.6	165.1	95.1	95.0, 165.0, 94.2, 109.0, 91.0, 81.0	p-Coumaric acid	putatively annotated	Polyphenol	0.79	0.54	0.7	0.86	0.88
SlFM0124	-40	-40		165.0546		C9H8O3 	H-	8.46	163.2	119	119	4-Coumaric acid	standard	Polyphenol	0.98	0.96	1.1	0.89	0.81
SlFM0127	40	30	165.0534					6.64	165.1	147	146.9, 91.0, 118.9, 76.9, 84.0, 100.9				0.76	0.79	0.87	0.7	0.62
SlFM0129	20	10		166.0863		C9H11NO2	H+	4.5	166.2	120.1	120.0, 103.0, 91.0, 77.0, 95.0, 102.1	L-Phenylalanine	standard	Amino acid	0.74	0.58	0.88	0.68	0.47
SlFM0131	40	50						4.65	167.1	120.1	120.3, 78.0, 92.0, 103.4, 72.8, 104.1				1.25	1.3	1.32	1.14	0.57
SlFM0136	30	20				C8H12N2O2	H+	1.56	169.1	151.9	84.9, 94.2, 116.1, 114.9, 81.9	Pyridoxamine dihydrochloride	putatively annotated	Vitamin derivative	1.18	1.93	1.26	1.09	0.54
SlFM0138	40	20	170.0806	170.0811	2.94	C8H11NO3	H+	2.3	170.1	134.1	134.1, 152.0, 80.0, 124.0, 95.9	Pyridoxine	standard	Vitamin	1.59	2.75	1.77	1.45	0.36
SlFM0139	30	20					H+	1.8	174.2	114	113.9, 95.9, 69.9, 128.0, 84.0	N-Acetyl-L-leucine	putatively annotated	Amino acid derivative	1.36	1.57	1.17	1.29	0.58
SlFM0142	-40	-10					H-	1.79	173	85	84.8, 111.0, 79.0, 101.0 	cis-Aconitic acid	putatively annotated	Polyphenol	0.86	0.92	0.88	0.82	0.41
SlFM0143	40	50	175.1157			C11H14N2	H+	0.998	175.1	115.1	82.8, 100.8, 115.0, 97.1, 132.9	5-Methyltryptamine	putatively annotated	Amino acid derivative	1.06	1.44	1.14	0.95	0.14
SlFM0144	20	20	175.1184	175.11895	3.14	C6H14N4O2	H+	1.13	175.2	116.1	69.8, 82.9, 114.9, 85.0	L-Arginine	standard	Amino acid	1.22	1.24	1.24	1.2	0.57
SlFM0145	60	30					H+	1.01	176.1	102.1	102.1, 84.0, 115.9, 83.1, 98.0	N-Acetyl-DL-aspartic acid 	putatively annotated	Amino acid derivative	1.03	1.36	1.1	0.92	0.06
SlFM0146	50	30	177.1386	177.1386	0.14	C11H16N2	H+	1.03	177.3	103.4	103.4	(S)-(+)-2-(anilinomethyl) pyrrolidine	putatively annotated	Others	0.96	1.26	1.01	0.87	0.12
SlFM0147	40	30						5.59	177.1	112	112.0, 84.0, 83.5, 129.0, 81.1, 111.3				1.24	1.18	0.97	1.3	0.05
SlFM0148	-40	-10					H-	7.28	175	115	115.0, 113.0, 84.9, 131.0, 135.0 	3-Hydroxy-4-methyl-3-carboxypentanoate	putatively annotated	Others	0.9	0.68	0.93	0.88	0.49
SlFM0151	40	40	177.1016	177.1022	3.61	C10H12N2O	H+	2.35	177.2	160.2	114.9, 158.8, 132.2, 116.4, 117.2, 89.0	Serotonin	standard	Amino acid derivative	1.36	1.86	0.96	1.23	0.29
SlFM0154	40	40					H+	9.88	179.1	91	91.0, 146.9, 160.9, 118.9, 145.9	Coniferyl aldehyde	putatively annotated	Polyphenol	0.82	0.79	0.94	0.75	0.82
SlFM0155	20	20				C10H10O3	H+	10	179.1	147	76.9, 90.9, 95.0, 88.9	4-Hydroxy-3-methoxycinnamaldehyde	putatively annotated	Polyphenol	0.85	0.76	1.02	0.77	0.85
SlFM0157	-50	-20					H-	9.94	177.1	162	162.0, 161.0, 93.0, 149.0, 74.9 	Coniferyl aldehyde	putatively annotated	Others	0.83	0.76	1	0.75	0.86
SlFM0158	40	40					H+	4.93	180.1	120.1	120.1, 103.0, 91.0, 77.0, 119.1, 102.1	D-beta-Homophenylalanine	putatively annotated	Amino acid derivative	1.32	1.03	1.14	1.21	0.4
SlFM0159	40	20					H+	1.11	180	162	162.0, 69.0, 152.0, 98.9, 96.9, 85.0	Glucosamine	putatively annotated	Others	1.72	2.06	2.16	1.55	0.21
SlFM0160	60	40				C7H8N4O2	H+	13.7	181.1	67	98.9, 91.0, 135.0, 107.0, 111.0, 105.0	Theobromine	putatively annotated	Alkaloid	0.65	0.44	0.67	0.64	0.88
SlFM0161	-40	-20		181.0495		C9H8O4	H-	7.33	179	135	135.0, 69.7, 59.0, 85.0, 101.0, 151.1 	Caffeic acid	standard	Polyphenol	0.6	0.82	0.55	0.59	0.73
SlFM0166	60	20					H+	13.7	181	163	89.0, 162.9, 135.0, 88.4, 117.0, 145.0	3,4-Dihydroxycinnamic acid	putatively annotated	Polyphenol	0.66	0.42	0.68	0.64	0.87
SlFM0168	40	20	182.0811	182.08117	0.38	C9H11NO3	H+	2.3	182.2	91.2	91.2	L-Tyrosine	standard	Amino acid	1.46	1.37	1.43	1.33	0.55
SlFM0170	40	40					H+	2.33	182	136	136.1	L-Methionine sulfone	putatively annotated	Amino acid derivative	1.42	1.34	1.37	1.3	0.55
SlFM0173	40	20				C5H13NO2S2	H+	1.05	183.9	83	100.9, 82.9, 123.9, 90.9, 80.9, 82.2	5-Sulfanyl-1-pentanesulfonamide	putatively annotated	Others	1.03	1.2	1	0.94	0.28
SlFM0174	40	50						10.2	184.1	98.9	98.9, 98.2, 80.9, 95.1, 97.4, 96.7				0.6	0.43	0.56	0.6	0.42
SlFM0176	30	30					H+	1.62	184	125	124.9, 98.9, 86.0, 80.6, 69.0, 85.5	O-Phosphocholine	standard	Vitamin	1.51	1.1	1.33	1.4	0.54
SlFM0178	40	20				C8H9NO4	H+	2.97	184.2	147.9	147.9, 165.9, 98.8, 100.9, 82.9	4-Pyridoxate	putatively annotated	Others	2.69	3.42	3.04	2.45	0.5
SlFM0179	40	30						4.47	184.1	147.9	147.9, 165.9, 147.1, 120.0, 92.0				1.44	0.8	1.1	1.67	0.4
SlFM0180	40	30					H+	3.03	184	148	147.9, 165.9, 98.8, 100.9, 82.9	4-Pyridoxic acid	putatively annotated	Others	2.83	3.64	3.29	2.56	0.47
SlFM0181	30	30						12.9	187.1	88	87.9, 82.9, 90.8, 78.6, 81.0				0.41	0.28	0.33	0.42	0.21
SlFM0182	40	30						5.38	188.1	116.2	69.6, 91.9, 87.9, 116.1, 119.0, 85.0				0.58	0.47	0.7	0.52	0.51
SlFM0184	60	30						8.56	189.1	155.9	155.9, 141.0, 114.9, 171.0, 91.0, 159.0				0.53	0.62	0.49	0.43	0.56
SlFM0189	40	40						4.59	193.1	104.9	104.9, 176.0, 77.0, 95.0, 68.9				1.52	0.77	1.69	1.41	0.81
SlFM0190	40	50				C7H12O6	H+	2.29	193.1	111	68.9, 110.9, 138.9, 128.9, 86.9, 67.0	Quinic acid	putatively annotated	Polyphenol	1.61	2.45	2.01	1.44	0.42
SlFM0191	-30	-10					H-	2.26	193	113	111.0, 113.0, 87.0, 89.0, 85.0, 112.0 	D-Glucuronic acid	putatively annotated	Others	1.53	1.56	1.63	1.44	0.43
SlFM0192	-50	-20				C10H10O4	H-	8.89	193.1	134	134.0, 178.0, 193.0, 149.0, 89.0, 133.0 	4-Hydroxy-3-methoxycinnamic acid	putatively annotated	Polyphenol	1.07	0.66	0.97	1.1	0.64
SlFM0194	30	20				C10H10O4	H+	8.86	195.1	145	88.9, 177.0, 116.9, 162.9, 149.0, 144.9	Ferulic acid	standard	Polyphenol	1.09	0.82	0.96	1.07	0.8
SlFM0195	-30	-60					H-	1.82	195.1	75	75	D-Gluconic acid	putatively annotated	Saccharides	1.58	1.55	1.9	1.42	0.46
SlFM0197	40	30	198.0766			C9H11NO4	H+	13.7	198.1	181	181.0, 84.9, 163.0, 96.9, 107.0	3,4-Dihydroxy-L-phenylalanine	putatively annotated	Amino acid derivative	0.81	0.68	0.83	0.8	0.87
SlFM0198	10	30					H+	13.8	199.2	107.1	110.9, 135, 163, 124.9, 107, 90.9	gamma-Dodecalactone	putatively annotated	Others	0.95	0.96	0.83	0.91	0.58
SlFM0201	40	30						1.04	201.1	83	83				1.15	1.43	1.07	1.07	0.16
SlFM0203	10	40	203.2232	203.2231	0.89	C10H26N4	H+	1.04	203.2	84.1	102.9, 100.9, 82.9, 91, 0	Spermine	putatively annotated	Polyamine	1.53	2.18	1.68	1.36	0.46
SlFM0206	-50	-20				C10H18O4	H-	10.9	201.1	139.1	139.1	Sebacic acid	putatively annotated	Fatty acid	0.43	0.3	0.45	0.41	0.69
SlFM0207	30	20	203.1174	203.1179	2.42	C12H14N2O	H+	10.1	203.1	143.9	143.9, 143.0, 91.0, 115.0, 142.0	N-Acetyltryptamine	putatively annotated	Amino acid derivative	0.97	0.7	1.37	0.79	0.87
SlFM0212	-60	-20					H-	0.984	202	157	157.1, 58.8, 57.1, 159.2, 98.6 	IBA	putatively annotated	Phytohormone	1.08	1.67	1.21	0.96	0.2
SlFM0213	40	60	205.0962	205.0972	4.63	C11H12N2O2	H+	5.37	205.2	146.2	136.5, 86.2, 101.1, 142.9, 110.0, 159.0	L-Tryptophan	standard	Amino acid	0.89	0.76	0.86	0.83	0.56
SlFM0216	40	20					H+	5.38	206	160	159.9, 99.9, 118.0, 146.0, 81.0	Methoxy indoleacetic acid	putatively annotated	Phytohormone	0.68	0.54	0.65	0.64	0.65
SlFM0217	40	30				C8H15NOS2	H+	5.38	206.2	189	147, 119, 118, 188.9, 145.1, 144.1	(+/-)-alpha-Lipoamide	putatively annotated	Others	0.72	0.62	0.7	0.67	0.66
SlFM0219	60	30						9.08	207.1	95.1	91.0, 95.0, 104.9, 114.9, 146.9				0.51	0.87	0.61	0.43	0.69
SlFM0220	50	30	207.1382	207.138	1.16	C13H18O2	H+	7.31	207.2	95.2	91.0, 147.0, 95.0, 189.0, 105.0, 119.0	Sattabacin	putatively annotated	Others	0.51	0.52	0.49	0.48	0.55
SlFM0221	-40	-30						9.48	206.1	164.1	164.0, 147.0, 91.0, 58.0, 102.9, 162.2 				0.64	0.43	0.83	0.58	0.25
SlFM0222	60	60				C15H12O	H+	6.82	209.2	77	91.0, 107.0, 79.0, 76.9, 105.0, 149.0	Chalcone	putatively annotated	Flavonoid	1.4	1.6	1.16	1.07	0.61
SlFM0223	40	30				C10H12N2O3	H+	3.4	209	88	87.9, 191.9, 84.3, 87.2, 85.9, 86.6	Kynurenine	standard	Amino acid derivative	4.2	3.24	5.3	2.93	0.19
SlFM0224	60	50						6.8	209.1	91	90.9, 104.9, 190.9, 76.9, 116.9, 148.9				1.38	0.84	1.01	1.18	0.78
SlFM0225	40	30					H+	2.35	209	120.9	120.9, 191.9, 110.9, 92.9, 120.1	N-p-hydroxybenxoylputrescine	putatively annotated	Polyamine	1.26	0.67	1.21	1.28	0.26
SlFM0227	-40	-30					H-	12.3	209	59	59	JA	putatively annotated	Phytohormone	0.67	0.78	0.75	0.62	0.6
SlFM0228	30	30						3.52	211.1	89.9	89.9, 193.9, 87.9, 198.8, 183.0				3.51	2.74	4.22	2.52	0.4
SlFM0229	60	30						8.4	211.1	109	109.0, 91, 105.0, 95.0, 164.9				0.75	0.79	0.86	0.69	0.71
SlFM0231	40	30						12.3	212.1	167.8	167.8, 193.9, 165.9, 135.9, 134.9				0.83	0.43	0.78	0.87	0.1
SlFM0232	10	40					H+	12.4	213.2	79	91.0, 79.0, 81.0, 76.9, 93.0, 95.0	Vanillactic acid	putatively annotated	Others	1	0.79	0.89	1.04	0.77
SlFM0233	40	20						9.98	213.1	97	97.0, 91.0, 177.0, 79.0, 94.9				0.61	0.94	0.58	0.57	0.75
