Gene ID	Module	MM	Locus Name	TF Family	TF Name	Functional Annotation
GRMZM2G124091	1	0.96334878	--	--	--	Deoxycytidylate deaminase; Uncharacterized protein
GRMZM2G154267	1	0.961838521	--	--	--	DNA polymerase epsilon subunit 2
GRMZM2G047748	1	0.960273115	--	--	--	-
GRMZM2G181153	1	0.958943889	H4C7	--	--	Histone H4
GRMZM5G824137	1	0.958606584	--	--	--	Uncharacterized protein
GRMZM2G144995	1	0.957144319	--	--	--	Uncharacterized protein
GRMZM2G115245	1	0.956933898	--	--	--	Uncharacterized protein
GRMZM2G044128	1	0.956353468	--	--	--	Uncharacterized protein
GRMZM2G021069	1	0.956158165	MCM6	--	--	Minichromosome maintenance protein
GRMZM2G125648	1	0.956155234	NFD106	--	--	HMG type nucleosome/chromatin assembly factor DNucleasome/chromatin assembly factor D protein NFD106; HMG1/2-like protein; Uncharacterized protein
GRMZM2G018238	1	0.952245799	--	--	--	Amidophosphoribosyltransferase
GRMZM2G075978	1	0.951329593	--	--	--	Uncharacterized protein
GRMZM2G306104	1	0.95113309	--	--	--	Uncharacterized protein
GRMZM2G157156	1	0.950930319	--	--	--	Uncharacterized protein
GRMZM2G100639	1	0.948059221	ROA1	--	--	DNA replication licensing factor MCM3 homolog 2
GRMZM2G430056	1	0.947173886	--	--	--	-
GRMZM2G149178	1	0.941277061	H4C7	--	--	Histone H4
GRMZM2G135733	1	0.940130661	--	--	--	-
GRMZM2G420786	1	0.938505104	--	--	--	-
GRMZM5G801025	1	0.93497465	--	--	--	Uncharacterized protein
GRMZM2G059856	1	0.934561898	--	--	--	-
GRMZM5G897818	1	0.934138201	--	--	--	-
GRMZM2G179005	1	0.932731079	H3C2	--	--	Histone H3.2
GRMZM2G110345	1	0.931180044	--	--	--	-
GRMZM5G855375	1	0.9288283	--	--	--	Uncharacterized protein
GRMZM5G873455	1	0.927666814	--	--	--	-
GRMZM2G042593	1	0.92085331	--	--	--	Plant IF-like protein
GRMZM2G003875	1	0.920107049	--	--	--	Phosphoribosylamine-glycine ligase; Uncharacterized protein
GRMZM2G383061	1	0.919010345	--	--	--	-
GRMZM2G154437	1	0.917367235	--	Orphans	ZmOrphan288	Uncharacterized protein
GRMZM2G147920	1	0.913142843	--	--	--	Putative uncharacterized protein
AC234157.1_FG002	1	0.912191979	LEM1	--	--	Uncharacterized protein
GRMZM2G097282	1	0.902715094	--	--	--	Uncharacterized protein
GRMZM2G113967	1	0.902053097	--	--	--	CBL-interacting serine/threonine-protein kinase 15; Putative CBL-interacting protein kinase family protein; Uncharacterized protein
GRMZM5G801879	1	0.89496734	--	--	--	-
GRMZM2G008773	1	0.893239437	--	--	--	LysM domain containing protein
GRMZM2G094978	1	0.89249703	--	--	--	Protein cbbY; Uncharacterized protein
GRMZM2G087254	1	0.890906976	APRL2	--	--	Adenosine 5'-phosphosulfate reductase 2
GRMZM5G865934	1	0.890484592	--	--	--	-
GRMZM2G011479	1	0.889182219	--	--	--	Uncharacterized protein
GRMZM2G038833	1	0.886623616	--	--	--	50S ribosomal protein L28
GRMZM2G046919	1	0.880931472	--	--	--	-
GRMZM2G071087	1	0.875300632	--	--	--	Protein phosphatase 2C; Uncharacterized protein
GRMZM2G583590	1	0.863621824	--	--	--	-
GRMZM2G002754	1	0.839053703	--	--	--	Uncharacterized protein
GRMZM2G426294	1	0.837539058	--	--	--	Uncharacterized protein
AC203685.3_FG013	1	0.83708025	--	--	--	-
AC149475.2_FG007	1	0.830883548	--	--	--	N-acetyltransferase; Uncharacterized protein
GRMZM2G375159	1	0.822601732	--	--	--	Uncharacterized protein
GRMZM2G519514	1	0.821419872	--	--	--	-
GRMZM5G862759	1	0.81796457	--	--	--	Uncharacterized protein
GRMZM2G174776	1	0.813948959	--	CCAAT-HAP5	ZmCA5P14	Uncharacterized protein
GRMZM2G444801	1	0.807225347	--	--	--	Sulfate transporter 3.4; Uncharacterized protein
GRMZM2G099907	1	0.80661456	--	--	--	DCL protein
AC213847.4_FG008	1	0.784006596	--	--	--	-
GRMZM2G013783	1	0.778220094	--	--	--	AMP-binding protein; Uncharacterized protein
GRMZM2G091916	2	0.996341375	--	--	--	Uncharacterized protein
GRMZM2G352255	2	0.996283548	--	--	--	-
GRMZM2G034828	2	0.995947148	KIN13	--	--	Kinesin heavy chain
GRMZM2G107645	2	0.995181887	--	--	--	Uncharacterized protein
GRMZM2G127656	2	0.994709292	--	--	--	Uncharacterized protein
GRMZM2G072205	2	0.994560335	--	--	--	Uncharacterized protein
GRMZM2G318849	2	0.99450005	--	--	--	Uncharacterized protein
GRMZM2G083012	2	0.994277996	--	--	--	Uncharacterized protein
GRMZM2G115499	2	0.994201953	--	--	--	Uncharacterized protein
GRMZM2G143791	2	0.994062139	--	--	--	GPI-anchored protein; Uncharacterized protein
GRMZM2G060253	2	0.993967729	--	--	--	Putative uncharacterized protein
GRMZM2G172945	2	0.993097303	--	--	--	Uncharacterized protein
GRMZM2G004528	2	0.993031793	MIPS2	--	--	Myo-inositol phosphate synthase; Putative inositol-3-phosphate synthase; Uncharacterized protein
GRMZM2G389881	2	0.992605067	--	--	--	Uncharacterized protein
GRMZM2G089819	2	0.992388068	--	--	--	Brassinosteroid LRR receptor kinase; Putative leucine-rich repeat receptor-like protein kinase family protein; Uncharacterized protein
GRMZM2G063575	2	0.99227168	--	--	--	Putative pentatricopeptide repeat family protein
GRMZM2G115812	2	0.992097156	--	--	--	Uncharacterized protein
GRMZM5G821639	2	0.991828514	--	--	--	Fizzy-related protein
GRMZM2G154316	2	0.991816709	--	--	--	Uncharacterized protein
GRMZM2G168386	2	0.991568795	--	--	--	Uncharacterized protein
GRMZM2G337229	2	0.991493449	OLE16	--	--	Oleosin Zm-I
GRMZM2G050268	2	0.991329972	--	--	--	Uncharacterized protein
GRMZM5G864735	2	0.99132332	H3C2	--	--	Histone H3.2
GRMZM5G877336	2	0.991214876	--	--	--	-
GRMZM2G349151	2	0.991147473	--	--	--	-
GRMZM2G119345	2	0.990938917	--	--	--	ABC-2 type transporter family protein
GRMZM2G172043	2	0.990824884	--	--	--	-
GRMZM5G829436	2	0.990547271	--	--	--	Uncharacterized protein
GRMZM2G137009	2	0.990480076	--	--	--	Putative DUF566 domain containing family protein
GRMZM2G078441	2	0.990403012	--	--	--	Uncharacterized protein
GRMZM2G051738	2	0.989826069	--	--	--	-
GRMZM2G148483	2	0.989728512	--	--	--	-
GRMZM2G109480	2	0.989699896	--	ABI3-VP1	ZmABI7	Uncharacterized protein
GRMZM2G087753	2	0.989543936	--	--	--	-
GRMZM2G339994	2	0.989442947	--	--	--	General stress protein 39; Short-chain dehydrogenase/reductase SDR family protein; Uncharacterized protein
GRMZM2G083964	2	0.989103139	--	CCAAT-HAP5	ZmCA5P4	-
GRMZM2G400223	2	0.98896441	--	--	--	-
GRMZM2G047143	2	0.988912029	MAD2	--	--	Mitotic spindle checkpoint protein MAD2
GRMZM2G181390	2	0.988837626	--	--	--	Uncharacterized protein
GRMZM5G883764	2	0.988793712	--	--	--	Histone H2A
GRMZM2G334142	2	0.988779357	--	--	--	-
GRMZM2G082384	2	0.988685132	--	--	--	Uncharacterized protein
GRMZM2G310115	2	0.988228976	--	--	--	Cyclin4; Uncharacterized protein
GRMZM2G121210	2	0.987974949	--	--	--	Uncharacterized protein
GRMZM2G140991	2	0.987876447	--	--	--	-
GRMZM2G144701	2	0.987756132	--	--	--	Uncharacterized protein
GRMZM2G322299	2	0.987430569	--	--	--	-
GRMZM2G304362	2	0.987269177	--	--	--	Ribonucleoside-diphosphate reductase
GRMZM2G080243	2	0.987264091	--	--	--	-
GRMZM2G071025	2	0.987253266	--	--	--	Uncharacterized protein
GRMZM2G026560	2	0.987057204	--	--	--	-
GRMZM2G066528	2	0.986615565	HMGD1	--	--	HMGd1 protein; Nucleasome/chromatin assembly factor D protein NFD101; Uncharacterized protein
GRMZM2G157252	2	0.986521522	--	--	--	Uncharacterized protein
GRMZM2G021270	2	0.985818573	--	--	--	Uncharacterized protein
GRMZM2G090338	2	0.985597914	SIR	--	--	Sulfite reductase [ferredoxin], chloroplastic
AC189795.3_FG001	2	0.985234531	--	--	--	Uncharacterized protein
AC233865.1_FG001	2	0.98482374	H4C7	--	--	Histone H4
GRMZM2G150984	2	0.984720183	--	--	--	Uncharacterized protein
GRMZM2G058491	2	0.98469993	--	--	--	Uncharacterized protein
GRMZM2G144730	2	0.984660893	--	--	--	Pyruvate kinase
GRMZM2G480480	2	0.984634364	--	Orphans	ZmOrphan295	-
GRMZM2G100478	2	0.984471293	--	--	--	-
GRMZM2G178106	2	0.984449813	--	--	--	Uncharacterized protein
GRMZM2G145662	2	0.984445801	--	--	--	Uncharacterized protein
GRMZM2G051004	2	0.984386614	--	--	--	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic; Uncharacterized protein
GRMZM2G461278	2	0.983940565	--	--	--	ATP binding protein
GRMZM2G120440	2	0.983718689	--	--	--	Uncharacterized protein
GRMZM2G030673	2	0.983482726	--	--	--	Putative calcium-dependent protein kinase family protein
GRMZM2G138258	2	0.983453224	--	--	--	Putative uncharacterized protein
GRMZM2G479684	2	0.983290016	H4C7	--	--	Histone H4
GRMZM2G051677	2	0.983010404	FRK2	--	--	Fructokinase-2
GRMZM2G029536	2	0.982782418	--	--	--	Nucleotide binding protein
GRMZM2G465208	2	0.98272265	--	--	--	Uncharacterized protein
GRMZM2G017802	2	0.982634202	--	--	--	-
GRMZM2G064852	2	0.982621359	--	--	--	Uncharacterized protein
GRMZM2G061728	2	0.982232021	--	--	--	Uncharacterized protein
GRMZM2G087243	2	0.982020617	--	--	--	Uncharacterized protein
GRMZM2G359217	2	0.981709721	--	--	--	-
GRMZM2G000608	2	0.981672623	--	--	--	Uncharacterized protein
GRMZM2G112072	2	0.981654295	--	--	--	Putative uncharacterized protein
GRMZM2G553069	2	0.981050851	--	--	--	-
GRMZM2G048821	2	0.981004968	TK1	--	--	Thymidine kinase
GRMZM2G466394	2	0.980787137	--	--	--	-
GRMZM2G177596	2	0.980499112	--	--	--	Uncharacterized protein
GRMZM2G320689	2	0.980334434	KIN4	--	--	Kinesin heavy chain
GRMZM2G022253	2	0.980079736	--	--	--	Putative uncharacterized protein
GRMZM2G008309	2	0.979917768	--	--	--	Fiber expressed protein
GRMZM2G421655	2	0.979838126	--	--	--	-
GRMZM2G118063	2	0.979591949	HDZIV10_OCL10	Homeobox	ZmHB17	Homeodomain leucine zipper family IV protein; Putative homeobox/lipid-binding domain family protein isoform 1; Putative homeobox/lipid-binding domain family protein isoform 2; Uncharacterized protein
GRMZM2G144504	2	0.979590482	--	--	--	Pollen-specific kinase partner protein; Uncharacterized protein
GRMZM2G176047	2	0.979504365	--	--	--	Uncharacterized protein
GRMZM2G114276	2	0.978945383	--	--	--	-
GRMZM2G133169	2	0.978899011	--	GRAS	ZmGRAS65	-
AC196278.2_FG003	2	0.978859501	--	--	--	Uncharacterized protein
GRMZM2G010596	2	0.978742009	--	--	--	3-methyl-2-oxobutanoate hydroxymethyltransferase; Uncharacterized protein
GRMZM2G108149	2	0.978672402	--	--	--	Uncharacterized protein
GRMZM5G860510	2	0.978307743	--	--	--	-
GRMZM2G180027	2	0.978109837	--	--	--	Uncharacterized protein
GRMZM2G083475	2	0.977689622	--	--	--	Uncharacterized protein
GRMZM2G107737	2	0.977545641	--	--	--	-
GRMZM2G111191	2	0.977518972	--	--	--	Uncharacterized protein
GRMZM2G401581	2	0.976880368	H3C2	--	--	Histone H3.2
GRMZM2G022563	2	0.976825434	--	--	--	3-oxoacyl-synthase III; Uncharacterized protein
GRMZM2G141472	2	0.976656068	--	--	--	Uncharacterized protein
GRMZM2G132371	2	0.976557643	--	--	--	Uncharacterized protein
GRMZM5G824534	2	0.976094606	--	--	--	Putative uncharacterized protein
GRMZM2G033208	2	0.976016565	--	--	--	Transketolase, chloroplastic
GRMZM2G072855	2	0.975843773	H4C7	--	--	Histone H4
GRMZM2G152908	2	0.975711999	SUS1	--	--	Sucrose synthase 2
GRMZM2G089517	2	0.975478114	--	--	--	Uncharacterized protein
AC195860.3_FG005	2	0.975152839	--	--	--	Uncharacterized protein
GRMZM2G124335	2	0.975058569	--	--	--	Uncharacterized protein
GRMZM5G839416	2	0.974986393	--	--	--	-
GRMZM2G146395	2	0.974759719	--	--	--	Uncharacterized protein
GRMZM2G171248	2	0.974708499	--	--	--	Putative uncharacterized protein
GRMZM2G020974	2	0.974554342	--	--	--	Shugoshin-1
GRMZM2G531719	2	0.974507465	--	--	--	-
GRMZM2G136219	2	0.974453137	--	--	--	Uncharacterized protein
GRMZM2G015190	2	0.974397575	--	--	--	Uncharacterized protein
AC214640.3_FG003	2	0.974195675	--	--	--	Uncharacterized protein
GRMZM2G005566	2	0.974025277	--	--	--	-
GRMZM2G010085	2	0.973798878	--	--	--	-
GRMZM2G131850	2	0.973543232	--	--	--	Uncharacterized protein
GRMZM2G325783	2	0.973380457	--	--	--	Uncharacterized protein
GRMZM2G029922	2	0.973254923	--	--	--	Uncharacterized protein
GRMZM2G123234	2	0.972744186	--	--	--	Ribonucleoprotein
GRMZM2G100473	2	0.972736864	--	--	--	Uncharacterized protein
GRMZM5G811926	2	0.972726998	--	--	--	-
GRMZM2G180399	2	0.972409326	--	--	--	Acyl-desaturase; Putative stearoyl-acyl-carrier protein desaturase
GRMZM2G037617	2	0.972364007	--	--	--	-
GRMZM2G178215	2	0.972249615	--	--	--	Cyclin superfamily protein, putative; Uncharacterized protein
GRMZM2G070015	2	0.972204539	--	--	--	Uncharacterized protein
GRMZM2G083950	2	0.97184708	CRP1	--	--	CRP1
GRMZM2G009913	2	0.971707597	--	--	--	Uncharacterized protein
GRMZM2G099981	2	0.971489908	--	--	--	Uncharacterized protein
GRMZM2G445676	2	0.971418362	--	--	--	-
GRMZM2G131597	2	0.971285095	--	--	--	CePP protein; Uncharacterized protein
GRMZM2G026558	2	0.97120522	--	--	--	-
GRMZM2G377534	2	0.970939602	--	--	--	-
GRMZM2G161416	2	0.970871261	--	--	--	-
GRMZM2G326328	2	0.97040266	--	--	--	Uncharacterized protein
GRMZM2G057690	2	0.970346996	--	--	--	-
GRMZM2G153754	2	0.970092316	--	CPP	ZmCPP1	-
GRMZM2G177867	2	0.970061945	--	--	--	Uncharacterized protein
GRMZM2G088396	2	0.969949782	HPPD	--	--	4-hydroxyphenylpyruvate dioxygenase
GRMZM5G859877	2	0.969828068	--	--	--	-
GRMZM2G102944	2	0.969773583	--	--	--	Serine/threonine-protein kinase Haspin; Uncharacterized protein
GRMZM6G161711	2	0.969693916	--	--	--	Glycerol-3-phosphate dehydrogenase; Uncharacterized protein
GRMZM2G471186	2	0.969655162	--	--	--	Uncharacterized protein
GRMZM5G800232	2	0.969622554	--	--	--	-
GRMZM2G363437	2	0.969408722	--	--	--	Uncharacterized protein
GRMZM2G130442	2	0.969262463	HDZIV5_OCL5	Homeobox	ZmHB97	Homeodomain leucine zipper family IV protein; Outer cell layer5a; Uncharacterized protein
GRMZM2G055968	2	0.969216975	--	--	--	Uncharacterized protein
GRMZM2G030284	2	0.969193384	--	--	--	Uncharacterized protein
GRMZM2G113196	2	0.969139591	--	--	--	Putative uncharacterized protein
GRMZM2G472696	2	0.968644303	--	--	--	Histone H2B
GRMZM2G051894	2	0.967882354	--	--	--	Uncharacterized protein
GRMZM2G122897	2	0.967575036	HDZIV8_OCL8	Homeobox	ZmHB91	Homeodomain leucine zipper family IV protein; Putative homeobox/lipid-binding domain family protein
GRMZM2G376282	2	0.967469015	--	--	--	Uncharacterized protein
GRMZM5G852502	2	0.967454733	--	--	--	Uncharacterized protein
GRMZM2G136712	2	0.967176739	--	--	--	Homoserine dehydrogenase
GRMZM2G157873	2	0.96697922	--	--	--	Pectinesterase inhibitor domain containing protein
GRMZM2G034647	2	0.966975212	--	--	--	Cyclin1
GRMZM2G080355	2	0.96665479	--	--	--	Putative uncharacterized protein
GRMZM2G369260	2	0.966645363	--	--	--	Delta DNA polymerase; Uncharacterized protein
GRMZM2G447535	2	0.966359888	--	--	--	Uncharacterized protein
GRMZM2G109159	2	0.966340931	--	--	--	Uncharacterized protein
GRMZM2G300709	2	0.966247853	--	--	--	-
GRMZM2G067298	2	0.966218075	--	--	--	Uncharacterized protein
GRMZM2G145974	2	0.966129291	--	--	--	Ethylene-responsive protein
GRMZM2G034572	2	0.965818324	--	--	--	Putative uncharacterized protein
GRMZM2G061777	2	0.965701744	--	--	--	Uncharacterized protein
GRMZM2G305080	2	0.965358516	--	--	--	Putative aldehyde dehydrogenase family protein
GRMZM2G301194	2	0.965073634	--	--	--	Uncharacterized protein
GRMZM2G097032	2	0.964951349	--	--	--	Uncharacterized protein
GRMZM2G077842	2	0.964604137	--	--	--	-
GRMZM2G162445	2	0.964409338	--	--	--	Putative mini-chromosome maintenance (MCM) complex protein family
GRMZM2G076017	2	0.964091805	--	--	--	Threonine endopeptidase
GRMZM2G092232	2	0.963843494	--	--	--	-
GRMZM2G105863	2	0.963833497	--	--	--	Putative uncharacterized protein
GRMZM2G447984	2	0.963753651	H3C2	--	--	Histone H3.2
GRMZM2G464011	2	0.963594782	--	--	--	Putative uncharacterized protein
GRMZM2G152007	2	0.962862282	--	--	--	Uncharacterized protein
GRMZM2G012970	2	0.96263989	--	--	--	Putative DUF827 domain containing family protein; Uncharacterized protein
GRMZM2G044550	2	0.962637261	--	--	--	Endonuclease/Exonuclease/phosphatase family protein; Uncharacterized protein
GRMZM2G107689	2	0.962391487	--	--	--	Uncharacterized protein
GRMZM5G860393	2	0.962387411	--	--	--	-
GRMZM2G051153	2	0.962097657	--	--	--	-
GRMZM2G043976	2	0.962056337	--	--	--	-
GRMZM2G000825	2	0.96191416	--	--	--	Uncharacterized protein
GRMZM2G062084	2	0.961755149	--	--	--	Uncharacterized protein
GRMZM2G018946	2	0.96150842	--	--	--	OB-fold nucleic acid binding domain containing protein; Uncharacterized protein
GRMZM2G141355	2	0.961196441	--	--	--	Putative leucine-rich repeat protein kinase family protein
GRMZM2G018105	2	0.96106092	--	--	--	Uncharacterized protein
GRMZM2G077227	2	0.96090684	--	--	--	Uncharacterized protein
GRMZM2G146143	2	0.960708622	--	--	--	Uncharacterized protein
GRMZM2G025592	2	0.960680509	MET2	--	--	DNA (cytosine-5)-methyltransferase 1
GRMZM2G470307	2	0.960359574	--	MYB	ZmMYB117	Uncharacterized protein
GRMZM2G157616	2	0.960344462	--	--	--	ATP binding protein; Uncharacterized protein
GRMZM2G067919	2	0.95999586	GLB1-L	--	--	Globulin-1 S allele
GRMZM2G058441	2	0.959155922	--	--	--	Uncharacterized protein
GRMZM2G037334	2	0.958960943	--	--	--	Uncharacterized protein
GRMZM2G138131	2	0.95886327	--	--	--	Ubiquitin-protein ligase/ zinc ion binding protein
GRMZM5G889644	2	0.958684695	--	--	--	Putative uncharacterized protein
GRMZM2G145989	2	0.958529942	--	--	--	Amino acid permease 1; Uncharacterized protein
GRMZM5G807019	2	0.958504935	--	--	--	Uncharacterized protein
GRMZM2G091543	2	0.958271895	--	--	--	Uncharacterized protein
GRMZM2G466534	2	0.958166435	--	--	--	-
GRMZM5G814596	2	0.958015859	--	--	--	Uncharacterized protein
GRMZM2G010105	2	0.957937279	--	--	--	Faciata 1-like protein
AC208110.2_FG006	2	0.957885631	--	--	--	Uncharacterized protein
GRMZM2G425731	2	0.957604955	--	--	--	Uncharacterized protein
GRMZM2G164175	2	0.957522041	--	--	--	Uncharacterized protein
GRMZM2G104546	2	0.957474409	AKHSDH2	--	--	Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic Aspartokinase Homoserine dehydrogenase [Source:UniProtKB/Swiss-Prot;Acc:P49080]
GRMZM2G445958	2	0.957339202	--	--	--	Uncharacterized protein
GRMZM2G018820	2	0.957222133	--	--	--	Uncharacterized protein
GRMZM2G063737	2	0.956753976	--	--	--	Uncharacterized protein
GRMZM2G012413	2	0.9567054	--	--	--	Uncharacterized protein
GRMZM2G070255	2	0.956148135	--	--	--	Uncharacterized protein
GRMZM2G069827	2	0.955214537	--	--	--	Uncharacterized protein
GRMZM2G031761	2	0.954888011	--	--	--	Uncharacterized protein
GRMZM5G854901	2	0.954437579	--	--	--	-
GRMZM2G448701	2	0.954146255	--	--	--	-
GRMZM2G123440	2	0.953979952	--	--	--	Uncharacterized protein
GRMZM2G017081	2	0.953937979	--	--	--	Uncharacterized protein
GRMZM5G817651	2	0.953874568	--	--	--	Putative uncharacterized protein
GRMZM2G376957	2	0.953861013	H3C2	--	--	Histone H3.2
GRMZM2G332660	2	0.95362176	--	--	--	Putative calcium-dependent protein kinase family protein
GRMZM2G176337	2	0.953415145	--	--	--	-
GRMZM2G051270	2	0.953293642	--	--	--	Uncharacterized protein
GRMZM2G451045	2	0.952281434	--	--	--	-
GRMZM2G114008	2	0.95181948	--	--	--	Putative uncharacterized protein
GRMZM2G078297	2	0.951816618	--	--	--	-
GRMZM2G121427	2	0.95143627	--	--	--	-
GRMZM2G054065	2	0.951255458	--	--	--	Uncharacterized protein
GRMZM2G177845	2	0.951107191	--	--	--	-
GRMZM2G333042	2	0.951098695	--	--	--	Putative uncharacterized protein
GRMZM2G005715	2	0.950789596	--	--	--	Uncharacterized protein
GRMZM2G135839	2	0.950532236	--	--	--	-
GRMZM2G086946	2	0.950263988	--	--	--	-
GRMZM2G425986	2	0.95025126	--	--	--	A/G-specific adenine DNA glycosylase
GRMZM2G080588	2	0.95017128	--	--	--	Putative aurora-related protein kinase family protein; Serine/threonine-protein kinase Eg2-like
GRMZM2G176270	2	0.950055314	--	--	--	Uncharacterized protein
GRMZM2G004878	2	0.94950165	--	--	--	Uncharacterized protein
GRMZM2G158526	2	0.949195411	--	--	--	Centromeric histone H3 isoform 1; Centromeric histone H3 isoform 2; Uncharacterized protein
GRMZM2G088014	2	0.949177948	--	--	--	-
GRMZM2G062524	2	0.949142279	--	--	--	-
GRMZM2G152028	2	0.949074214	--	--	--	Uncharacterized protein
GRMZM2G179848	2	0.949028282	--	--	--	Uncharacterized protein
GRMZM2G309368	2	0.948792391	--	--	--	-
GRMZM2G002830	2	0.948754134	--	--	--	Uncharacterized protein
GRMZM2G054032	2	0.94873515	--	--	--	F-box protein
GRMZM2G010306	2	0.94858733	--	--	--	Uncharacterized protein
GRMZM2G164696	2	0.948585019	TUBB1	--	--	Tubulin beta-1 chain
GRMZM2G471904	2	0.948496258	--	--	--	-
GRMZM2G375762	2	0.948422259	--	--	--	Microtubule motor
GRMZM2G436981	2	0.948175873	--	--	--	Uncharacterized protein
GRMZM2G176651	2	0.947411754	--	--	--	Uncharacterized protein
GRMZM2G090722	2	0.947046796	--	--	--	Uncharacterized protein
GRMZM2G089132	2	0.946980812	--	--	--	Uncharacterized protein
GRMZM2G114861	2	0.946944911	KIN6	--	--	Kinesin-1
GRMZM2G702115	2	0.946808056	--	--	--	-
GRMZM2G139852	2	0.946680011	--	--	--	Uncharacterized protein
GRMZM5G888250	2	0.946321375	--	--	--	-
GRMZM5G851405	2	0.946037595	HAT1	--	--	Histone acetyltransferase type B catalytic subunit
GRMZM2G138886	2	0.945866329	--	--	--	Uncharacterized protein
GRMZM2G164413	2	0.945668289	--	--	--	Protein kinase
AC216353.2_FG005	2	0.945601046	--	--	--	-
GRMZM2G091006	2	0.945573257	--	--	--	Uncharacterized protein
AC201771.3_FG007	2	0.94540347	--	--	--	-
GRMZM2G180815	2	0.945215401	--	--	--	Rae1-like protein
GRMZM2G030768	2	0.945049451	--	--	--	Uncharacterized protein
GRMZM2G076034	2	0.944721973	--	--	--	-
GRMZM2G043565	2	0.944648297	--	--	--	-
GRMZM2G084347	2	0.944407667	--	--	--	Uncharacterized protein
GRMZM2G005619	2	0.943937	CYCZMG1	--	--	Cyclin superfamily protein, putative; Uncharacterized protein
GRMZM2G010973	2	0.943735704	--	--	--	Putative uncharacterized protein
GRMZM2G361501	2	0.943525452	--	--	--	-
GRMZM2G000592	2	0.943008113	--	--	--	Uncharacterized protein
GRMZM2G063827	2	0.942997445	--	--	--	Uncharacterized protein
GRMZM2G421279	2	0.942974348	H4C7	--	--	Histone H4
GRMZM2G176638	2	0.942727966	--	--	--	Uncharacterized protein
GRMZM5G892879	2	0.942431037	--	Orphans	ZmOrphan240	Calmodulin binding protein; Uncharacterized protein
GRMZM6G310687	2	0.942327246	HMT-1	--	--	Homocysteine S-methyltransferase 1
GRMZM2G016477	2	0.941335271	--	--	--	Putative leucine-rich repeat receptor-like protein kinase family protein
GRMZM2G132116	2	0.941081992	--	--	--	Serine/threonine-protein kinase Eg2-like; Uncharacterized protein
GRMZM2G136838	2	0.940576043	KIN2	--	--	Kinesin heavy chain
GRMZM2G431318	2	0.940545307	--	--	--	-
GRMZM2G055844	2	0.94041504	--	--	--	Uncharacterized protein
GRMZM2G375607	2	0.940386792	--	--	--	-
GRMZM2G107377	2	0.940206575	--	--	--	Uncharacterized protein
GRMZM5G891837	2	0.940130105	--	--	--	-
GRMZM2G073003	2	0.940098188	--	--	--	Uncharacterized protein
GRMZM2G050329	2	0.940032931	--	--	--	Uncharacterized protein
GRMZM2G457411	2	0.939943785	--	--	--	-
GRMZM2G057044	2	0.939712561	HDA106	--	--	Uncharacterized protein
GRMZM2G007113	2	0.939525301	--	--	--	-
GRMZM2G096184	2	0.939330043	--	--	--	Uncharacterized protein
GRMZM2G040945	2	0.939312944	--	--	--	Uncharacterized protein
GRMZM2G064613	2	0.937526908	--	--	--	Uncharacterized protein
AC213463.3_FG004	2	0.937371716	--	--	--	-
GRMZM2G143588	2	0.937317138	--	--	--	Uncharacterized protein
GRMZM2G316635	2	0.937187647	--	--	--	-
